station_id,station_name
1,Akhaura
2,Banani
3,Benapole
4,Bhairab_Bazar
5,Bogura
6,Brahmanbaria
7,Chandpur
8,Chapainawabganj
9,Chattogram
10,Chilahati
11,Chuadanga
12,Comilla
13,Dewanganj
14,Dhaka
15,Dhaka_Airport
16,Dhaka_Cantonment
17,Dinajpur
18,Feni
19,Gafargaon
20,Ishwardi
21,Jamalpur
22,Jamuna_Bridge_East
23,Jessore
24,Joydebpur
25,Khulna
26,Kishoreganj
27,Laksam
28,Lalmonirhat
29,Mohangonj
30,Mymensingh
31,Narsingdi
32,Natore
33,Noakhali
34,Panchagarh
35,Rajshahi
36,Rangpur
37,Saidpur
38,Santahar
39,Sirajgonj
40,Sylhet
41,Tangail
42,Tarakandi
43,Tejgaon
44,Thakurgaon
45,Tongi
46,Tungipara
47,order_of_stations
